"12","Accomodation Des 21 Inc.","3422 Blvd Grande-Baie","Ville De La Baie","QC","Canada","g7b 1g4","1-418-544-4655","NULL","NULL","NULL","-1","No"
"13","Albert's Sports & Workwear","822 Riverside","Timmons","ON","Canada","P4N 3W1","705-264-8189","NULL","NULL","NULL","-1","No"
"14","Al Flaherty","2055 Dufferin Street","Toronto","ON","Canada","M6E 3R3","1-416-651-6436","NULL","NULL","NULL","-1","No"
"15","Elliot Lake Trading Post","14 Oakland Blvd, Hwy 108","Elliot Lake","ON","Canada","P5A 2T1","705-848-8401","NULL","NULL","NULL","-1","No"
"16","Grands General Store","Box 189, Highway #41","Cloyne","ON","Canada","K0H 1K0","613-336-2500","NULL","NULL","NULL","-1","No"
"1492","Fred's Custom Tackle & Guiding","2A - 34150 S. Fraser Way","Abbotsford","BC","Canada","V2S 2C6","604-746-1481","","","www.fredscustomtackle.com","1","No"
"18","Reel To Reel Plus","1065 Carp Rd","Stittsville","ON","Canada","K2S 1B9","613-831-1521","NULL","NULL","NULL","-1","No"
"19","Amqui Chasse Et Peche Inc.","915 Rue Paradis, C.P. 2457","Quebec City","QC","Canada","G1K 7R3","418-629-5000","NULL","NULL","NULL","-1","No"
"20","Grimsby Tackle Inc.","515 Main Street West","Grimsby","ON","Canada","L3M 1T6","905-945-0399","NULL","NULL","www.grimsbytackle.com","-1","No"
"21","Le Relais Chasse & Peche","445 Principale","Grenville","QC","Canada","J0V 1J0","819-242-6200","NULL","NULL","NULL","-1","No"
"22","Angling Outfitters","577 Dundas Street","Woodstock","ON","Canada","N4S 1C9","(519) 539-5494","","","","1","No"
"1516","Sportsman's Warehouse - Bend","63492 Hunnell Road","Bend","OR","USA","97701","541-693-5000","","","","1","No"
"1517","Sportsman's Warehouse - Las Vegas","5647 Centennial Center Boulevard","Las Vegas","NV","USA","89149","702-474-1100","","","","1","No"
"25","Hastings Marine","90 Front Street West P.O. Box 59","Hastings","ON","Canada","K0L 1Y0","705-696-2366","NULL","NULL","NULL","-1","No"
"26","Allan's Bait & Tackle","360 Christie Street","Pembroke","ON","Canada","K8A 4R5","613-725-5926","NULL","NULL","NULL","-1","No"
"1515","Sportsman's Warehouse - Logan","99 East 1400 North","Logan","UT","USA","84341","435-787-1700","","","","1","No"
"28","Angling Specialties - Concord","2104 Highway 7, Unit 15","Concord","ON","Canada","L4K 2S9","1-905-660-9707","NULL","NULL","NULL","-1","No"
"30","Happy Days Boat Centre","1475 Cabana Road East","Windsor","ON","Canada","N9A 6J3","519-969-2129","NULL","NULL","NULL","-1","No"
"31","Hully Gully","1705 Wharncliffe Road","London","ON","Canada","N6L 1J9","519-685-8045","NULL","NULL","NULL","-1","No"
"32","Hook, Line & Sinker","380 Ermosa Road","Guelph","ON","Canada","N1E 6R2","519-766-4665","NULL","NULL","NULL","-1","No"
"33","Angling Specialties - Missisauga","325 Central Parkway West","Mississauga","ON","Canada","L5B 3X9","905-275-4972","NULL","NULL","NULL","-1","No"
"34","B.L. Sports Inc.","3146 Ste. Catherine East","Montreal","QC","Canada","H1W 2C2","1-514-525-5354","NULL","NULL","NULL","-1","No"
"35","Bait on the Lake","PO Box 12 , 7A Medora Street","Port Carling","ON","Canada","P0B 1J0","1-705-765-7100","NULL","NULL","NULL","-1","No"
"36","Barney's Boats","1515 Kerr Ave","Erieau","ON","Canada","N0P 1N0","1-519-676-4511","NULL","NULL","NULL","-1","No"
"37","Bennetts Bait & Tackle","158 Lombardy Road","Smith Falls","ON","Canada","K7A 5B8","1-613-283-0683","NULL","NULL","NULL","-1","No"
"38","Brown's Marina Ltd","1641 Chaffey","Elgin","ON","Canada","K0G 1E0","1-613-272-5466","NULL","NULL","NULL","-1","No"
"39","Billy Bob's Bait & Tackle","1370 Lakeshore Drive","North Bay","ON","Canada","P1B 8Z4","1-705-474-2248","NULL","NULL","NULL","-1","No"
"40","Blue Beacon","Atherley Narrows","Atherley","ON","Canada","L3V 1P4","1-705-325-2526","NULL","NULL","NULL","-1","No"
"42","Buck's Marina","Michipicoten River site 2, Box 6 , RR 1","Wawa","ON","Canada","P0S 1K0","1-705-856-4488","NULL","NULL","NULL","-1","No"
"43","Burns Fishing & Outdoor Supplies","685 Plains Rd. East unit#1","Burlington","ON","Canada","L7T 2E8","1-905-681-8803","NULL","NULL","NULL","-1","No"
"44","Caledonia Bait & Tackle","192 Caithness Street West","Caledonia","ON","Canada","N3W 1B2","1-905-765-3215","NULL","NULL","NULL","-1","No"
"45","Ross Electric Home Hardware","324 Kipawa Rd, Box 640","Temiscaming","QC","Canada","J0Z 3R0","819-627-3341","NULL","NULL","NULL","-1","No"
"46","Samuel Chasse Et Peche","503 Rue Principale","LaChute","QC","Canada","J8H 1Y5","450-566-0006","NULL","NULL","NULL","-1","No"
"1528","Sportsman's Warehouse - Cheyenne","3745 Lincoln Hwy","Cheyenne","WY","USA","82001","307-635-4500","","","","1","No"
"49","Catch-em Bait & Tackle","3310 King Street East","Kitchener","ON","Canada","N2A 1B3","1-519-748-5346","NULL","NULL","NULL","-1","No"
"50","Shortwave Marine Electronics","110 Lakeshore Rd E","Port Credit","ON","Canada","L5G 1E3","905-278-6541","","","","1","No"
"51","Simcoe Bait & Tackle Inc","250 Innisfil St, Unit # 3","Barrie","ON","Canada","L4N 4K4","705-737-4819","NULL","NULL","NULL","-1","No"
"52","Centre 2MRC Inc. - Marchand Plus","915 Rue Paradis, C.P. 2457","Quebec City","QC","Canada","G1K 7R3","418-748-8137","NULL","NULL","NULL","-1","No"
"53","Sporteque Enrg","760 Boul St Joseph","Drummondville","QC","Canada","J2C 2C3","819-477-7144","NULL","NULL","NULL","-1","No"
"54","Group Thomas Inc","550 Lionel-Boulet C.P.2","Varennes","QC","Canada","J3X 1P9","877-652-2999","450-652-5902","thomasmarine.qc.aira.com","NULL","-1","No"
